Port,Service,Protocol,Description,Assignee
0,,tcp,Reserved,[Jon_Postel]
1,tcpmux,tcp,TCP Port Service Multiplexer,[Mark_Lottor]
2,compressnet,tcp,Management Utility,
3,compressnet,tcp,Compression Process,[Bernie_Volz]
4,,tcp,Unassigned,
5,rje,tcp,Remote Job Entry,[Jon_Postel]
6,,tcp,Unassigned,
7,echo,tcp,Echo,[Jon_Postel]
8,,tcp,Unassigned,
9,discard,tcp,Discard,[Jon_Postel]
10,,tcp,Unassigned,
11,systat,tcp,Active Users,[Jon_Postel]
12,,tcp,Unassigned,
13,daytime,tcp,Daytime,[Jon_Postel]
14,,tcp,Unassigned,
15,,tcp,Unassigned [was netstat],
16,,tcp,Unassigned,
17,qotd,tcp,Quote of the Day,[Jon_Postel]
18,msp,tcp,Message Send Protocol (historic),[Rina_Nethaniel]
19,chargen,tcp,Character Generator,
20,ftp-data,tcp,File Transfer [Default Data],[Jon_Postel]
21,ftp,tcp,File Transfer Protocol [Control],[Jon_Postel]
22,ssh,tcp,The Secure Shell (SSH) Protocol,
23,telnet,tcp,Telnet,[Jon_Postel]
24,,tcp,any private mail system,[Rick_Adams]
25,smtp,tcp,Simple Mail Transfer,[IESG]
26,,tcp,Unassigned,
27,nsw-fe,tcp,NSW User System FE,[Robert_Thomas]
28,,tcp,Unassigned,
29,msg-icp,tcp,MSG ICP,[Robert_Thomas]
30,,tcp,Unassigned,
31,msg-auth,tcp,MSG Authentication,[Robert_Thomas]
32,,tcp,Unassigned,
33,dsp,tcp,Display Support Protocol,[Ed_Cain]
34,,tcp,Unassigned,
35,,tcp,any private printer server,[Jon_Postel]
36,,tcp,Unassigned,
37,time,tcp,Time,[Jon_Postel]
38,rap,tcp,Route Access Protocol,[Robert_Ullmann]
39,rlp,tcp,Resource Location Protocol,[Mike_Accetta]
40,,tcp,Unassigned,
41,graphics,tcp,Graphics,
42,name,tcp,Host Name Server,
42,nameserver,tcp,Host Name Server,
43,nicname,tcp,Who Is,
44,mpm-flags,tcp,MPM FLAGS Protocol,
45,mpm,tcp,Message Processing Module [recv],
46,mpm-snd,tcp,MPM [default send],[Jon_Postel]
47,,tcp,Reserved,
48,auditd,tcp,Digital Audit Daemon,[Larry_Scott]
49,tacacs,tcp,Login Host Protocol (TACACS),[Pieter_Ditmars]
50,re-mail-ck,tcp,Remote Mail Checking Protocol,[Steve_Dorner]
52,xns-time,tcp,XNS Time Protocol,[Susie_Armstrong]
53,domain,tcp,Domain Name Server,[Paul_Mockapetris]
54,xns-ch,tcp,XNS Clearinghouse,[Susie_Armstrong]
55,isi-gl,tcp,ISI Graphics Language,
56,xns-auth,tcp,XNS Authentication,[Susie_Armstrong]
57,,tcp,any private terminal access,[Jon_Postel]
58,xns-mail,tcp,XNS Mail,[Susie_Armstrong]
59,,tcp,any private file service,[Jon_Postel]
60,,tcp,Unassigned,
61,,tcp,Reserved,
62,acas,tcp,ACA Services,[E_Wald]
63,whoispp,tcp,"whois++ IANA assigned this well-formed service name as a replacement for ""whois++"".",[Rickard_Schoultz]
63,whois++,tcp,whois++,[Rickard_Schoultz]
64,covia,tcp,Communications Integrator (CI),[Dan_Smith]
65,tacacs-ds,tcp,TACACS-Database Service,[Kathy_Huber]
66,sql-net,tcp,"Oracle SQL*NET IANA assigned this well-formed service name as a replacement for ""sql*net"".",[Jack_Haverty]
66,sql*net,tcp,Oracle SQL*NET,[Jack_Haverty]
67,bootps,tcp,Bootstrap Protocol Server,[Bill_Croft]
68,bootpc,tcp,Bootstrap Protocol Client,[Bill_Croft]
69,tftp,tcp,Trivial File Transfer,[David_Clark]
70,gopher,tcp,Gopher,[Mark_McCahill]
71,netrjs-1,tcp,Remote Job Service,
72,netrjs-2,tcp,Remote Job Service,
73,netrjs-3,tcp,Remote Job Service,
74,netrjs-4,tcp,Remote Job Service,[Bob_Braden]
75,,tcp,any private dial out service,[Jon_Postel]
76,deos,tcp,Distributed External Object Store,[Robert_Ullmann]
77,,tcp,any private RJE service,[Jon_Postel]
78,vettcp,tcp,vettcp,[Christopher_Leong]
79,finger,tcp,Finger,[David_Zimmerman]
80,http,tcp,World Wide Web HTTP,[IESG]
80,www,tcp,World Wide Web HTTP,[IESG]
80,www-http,tcp,World Wide Web HTTP,[Tim_Berners_Lee]
82,xfer,tcp,XFER Utility,[Thomas_M_Smith]
83,mit-ml-dev,tcp,MIT ML Device,[David_Reed]
84,ctf,tcp,Common Trace Facility,[Hugh_Thomas]
85,mit-ml-dev,tcp,MIT ML Device,[David_Reed]
86,mfcobol,tcp,Micro Focus Cobol,[Simon_Edwards]
87,,tcp,any private terminal link,[Jon_Postel]
88,kerberos,tcp,Kerberos,[B_Clifford_Neuman]
